Table 8,,,,,,,,,,,,,
NEW YORK,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2013",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,Pop_sq
Adams Village,"1,861",0,0,,0,0,0,12,2,10,0,0,"3,463,321"
Addison Town and Village,"2,577",3,0,,0,0,3,24,3,20,1,0,"6,640,929"
Akron Village,"2,846",3,0,,0,0,3,16,1,15,0,0,"8,099,716"
Albany,"97,956",791,8,,30,227,526,"4,090",705,"3,243",142,,"9,595,377,936"
Albion Village,"6,388",23,0,,3,4,16,223,53,165,5,,"40,806,544"
Alfred Village,"4,089",5,0,,0,3,2,46,10,36,0,,"16,719,921"
Allegany Village,"1,781",3,0,,0,0,3,10,0,10,0,0,"3,171,961"
Amherst Town,"118,296",107,1,,7,31,68,"2,118",204,"1,882",32,3,"13,993,943,616"
Amityville Village,"9,519",9,0,,2,4,3,210,16,188,6,1,"90,611,361"
Amsterdam,"18,182",30,0,,0,12,18,405,99,291,15,0,"330,585,124"
Arcade Village,"2,053",0,0,,0,0,0,39,3,35,1,0,"4,214,809"
Ardsley Village,"4,523",5,0,,0,3,2,33,4,28,1,0,"20,457,529"
Asharoken Village,658,0,0,,0,0,0,2,0,2,0,0,"432,964"
Attica Village,"2,522",2,0,,0,0,2,5,0,4,1,0,"6,360,484"
Auburn,"27,270",96,1,,20,22,53,859,132,721,6,,"743,652,900"
Avon Village,"3,333",1,0,,0,1,0,25,3,20,2,,"11,108,889"
Baldwinsville Village,"7,473",5,0,,0,1,4,88,10,77,1,0,"55,845,729"
Ballston Spa Village,"5,418",8,0,,0,3,5,94,16,78,0,1,"29,354,724"
Batavia,"15,374",57,0,,7,13,37,559,103,454,2,,"236,359,876"
Bath Village,"5,733",15,0,,1,3,11,191,32,157,2,2,"32,867,289"
Bedford Town,"17,627",5,0,,0,1,4,156,26,127,3,,"310,711,129"
Bethlehem Town,"34,243",13,0,,0,3,10,442,50,388,4,,"1,172,583,049"
Binghamton,"46,304",284,3,,19,101,161,"2,349",525,"1,767",57,,"2,144,060,416"
Black River,"1,410",0,0,,0,0,0,14,2,12,0,0,"1,988,100"
Blooming Grove Town,"12,001",8,0,,1,0,7,99,20,72,7,,"144,024,001"
Bolivar Village,"1,022",1,0,,0,0,1,4,2,2,0,0,"1,044,484"
Bolton Town,"2,325",2,0,,0,0,2,24,4,20,0,0,"5,405,625"
Boonville Village,"2,054",1,0,,0,0,1,20,6,14,0,0,"4,218,916"
Brant Town,"2,065",4,0,,0,1,3,31,9,20,2,0,"4,264,225"
Brewster,"2,358",0,0,,0,0,0,13,3,10,0,0,"5,560,164"
Briarcliff Manor Village,"7,976",1,0,,0,0,1,11,1,10,0,0,"63,616,576"
Brighton Town,"36,689",26,1,,2,10,13,793,142,623,28,,"1,346,082,721"
Brockport Village,"8,284",23,1,,1,5,16,165,29,132,4,,"68,624,656"
Bronxville Village,"6,390",0,0,,0,0,0,47,5,39,3,0,"40,832,100"
Brownville Village,"1,174",0,0,,0,0,0,10,0,10,0,0,"1,378,276"
Buffalo,"258,789","3,249",47,,145,"1,322","1,735","12,491","3,458","8,076",957,,"66,971,746,521"
Cairo Town,"6,577",0,0,,0,0,0,15,1,14,0,,"43,256,929"
Cambridge Village,"1,854",2,0,,0,0,2,44,12,31,1,,"3,437,316"
Camden Village,"2,219",5,0,,0,0,5,46,4,42,0,0,"4,923,961"
Camillus Town and Village,"24,165",14,0,,1,0,13,348,36,307,5,1,"583,947,225"
Canandaigua,"10,470",22,0,,0,9,13,315,54,253,8,,"109,620,900"
Canastota Village,"4,704",4,0,,0,0,4,60,8,51,1,,"22,127,616"
Canisteo Village,"2,246",3,0,,0,1,2,12,3,9,0,0,"5,044,516"
Canton Village,"6,794",3,0,,0,1,2,93,12,80,1,,"46,158,436"
Cape Vincent Village,762,0,0,,0,0,0,2,0,2,0,0,"580,644"
Carmel Town,"34,462",10,0,,2,0,8,198,31,158,9,1,"1,187,629,444"
Carroll Town,"3,481",0,0,,0,0,0,8,3,5,0,0,"12,117,361"
Carthage Village,"3,862",1,0,,1,0,0,60,12,47,1,,"14,915,044"
Cattaraugus Village,980,0,0,,0,0,0,4,0,4,0,0,"960,400"
Cayuga Heights Village,"3,749",1,0,,0,1,0,59,12,47,0,,"14,055,001"
Cazenovia Village,"2,732",0,0,,0,0,0,58,5,52,1,,"7,463,824"
Central Square Village,"1,835",3,0,,0,2,1,53,6,45,2,0,"3,367,225"
Chatham Village,"1,733",3,0,,0,0,3,32,5,27,0,0,"3,003,289"
Cheektowaga Town,"78,361",158,0,,11,48,99,"2,689",345,"2,271",73,2,"6,140,446,321"
Chester Town,"7,990",0,0,,0,0,0,25,9,16,0,,"63,840,100"
Chittenango Village,"5,016",1,0,,0,0,1,65,11,53,1,,"25,160,256"
Cicero Town,"29,571",12,0,,0,2,10,440,45,393,2,,"874,444,041"
Clarkstown Town,"80,705",65,0,,8,17,40,"1,515",99,"1,388",28,,"6,513,297,025"
Clyde Village,"2,049",4,0,,0,3,1,60,16,43,1,,"4,198,401"
Cobleskill Village,"4,503",5,0,,0,3,2,218,14,204,0,1,"20,277,009"
Coeymans Town,"7,458",39,0,,2,0,37,86,13,69,4,1,"55,621,764"
Cohoes,"16,179",26,0,,1,11,14,243,65,163,15,,"261,760,041"
Colonie Town,"78,215",63,0,,0,31,32,"1,990",186,"1,753",51,10,"6,117,586,225"
Cooperstown Village,"1,827",1,0,,0,0,1,16,2,14,0,,"3,337,929"
Corning,"11,087",35,0,,3,8,24,416,63,349,4,0,"122,921,569"
Cornwall-on-Hudson Village,"2,978",2,0,,0,0,2,22,8,14,0,,"8,868,484"
